rank,source_article_id,candidate_article_id,mix,score,similarity,candidate_title,candidate_department,candidate_rubric
1,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,6be0c921-121a-4938-94e5-b0e30343c0dd,semantic_only,0.8418354392051697,0.8418354392051697,Что такое гестационный диабет и сколько стоит его лечить,Медицина,Другое
2,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,3b0db2cd-1ce4-40bb-9579-3fb2e31840e2,semantic_only,0.8369236588478088,0.8369236588478088,"Правда ли, что инсулинорезистентность приводит к сахарному диабету и ожирению?",Медицина,Проверка слуха
3,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,d54f94ba-43fd-4c84-9768-6f39028c0c35,semantic_only,0.826887309551239,0.826887309551239,Можно ли ускорить метаболизм,Медицина,Другое
4,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,dad77f3b-f8a9-400f-a0ff-e0c2d7ff3015,semantic_only,0.8257236480712891,0.8257236480712891,«Варенье есть можно»: 10 вопросов о сахарном диабете второго типа,UGC,
5,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,8031e897-71be-4491-8513-d7444ce69dfb,semantic_only,0.8246502876281738,0.8246502876281738,«Не надо сдавать все анализы на всякий случай»: вопросы эндокринологу про гормоны и не только,Подкасты и видео,Другое
6,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,47c1cb28-034b-4123-9ad4-b0d2ca51b591,semantic_only,0.8236026763916016,0.8236026763916016,12 важных вопросов диетологу Елене Мотовой,Медицина,Интервью
7,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,25d08566-5d80-4b2e-b474-e4404a4beca0,semantic_only,0.8161374926567078,0.8161374926567078,"Как не потерять деньги, время и здоровье из-за консультации эндокринолога",Медицина,Другое
8,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,8d789e2f-ad7b-4516-a19d-160ce4f0b383,semantic_only,0.8121209740638733,0.8121209740638733,Как лечить сахарный диабет и сколько это стоит,Открытая,Другое
9,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,88d575b4-aa3a-454d-b9cf-1c3ea865eda9,semantic_only,0.8113771080970764,0.8113771080970764,«Бывает только у полных и лечится без лекарств»: 7 мифов о диабете второго типа,Медицина,Другое
10,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,fc40818c-6a79-4f26-ba04-46f5f9b91ecd,semantic_only,0.8026953935623169,0.8026953935623169,Как я 10 лет боролась с лишним весом и эндокрин­ными нарушениями,Медицина,Другое
11,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,71d2e759-a4e9-43a6-8819-aa89004a511d,semantic_only,0.795728325843811,0.795728325843811,10 важных вопросов эндокринологу Юрию Потешкину,Списки,Интервью
12,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,2ddaa6ec-765b-4d09-b34c-e9bbc8b6bf73,semantic_only,0.789871335029602,0.789871335029602,"Атеросклероз, остеоартрит и еще 5 опасных состоя­ний, связанных с лишним весом",Медицина,Другое
13,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,e25df3dc-bf3e-4378-a44d-b4344fe1dab4,semantic_only,0.7895681858062744,0.7895681858062744,Сколько стоит соста­вить программу питания у диетолога,Медицина,Другое
14,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,c8437533-8dae-4482-8506-4554f6ed225c,semantic_only,0.7883734703063965,0.7883734703063965,Сахар vs сахарозаменители: что менее вредно,UGC,Материалы из сообщества
15,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,f51d0b2a-605d-4bbe-85f0-b15811e8f833,semantic_only,0.7864441275596619,0.7864441275596619,"«Попробуйте наслаждаться любимой едой»: 9 советов для тех, кто пытается питаться правильно",Еда,AMA
16,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,978c0ceb-a924-4adc-9e0c-88703de37652,semantic_only,0.7860528826713562,0.7860528826713562,«Вызывает привыкание и диабет»: 6 мифов о сахаре,Медицина,Другое
17,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,5b6c8f5b-2c48-4605-b647-8b3c75610788,semantic_only,0.7853100299835205,0.7853100299835205,"«Часто родители видят проблемы там, где их нет»: детский нутрициолог — о здоровом рационе",Интервью,Другое
18,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,7e182c4d-94d0-4608-a8a9-f6bc88d39c97,semantic_only,0.783775269985199,0.783775269985199,Как я 18 лет живу с сахарным диабетом первого типа,UGC,Истории пациентов
19,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,d1f33af5-8a26-414c-9d5d-b65cb8ec0431,semantic_only,0.7825215458869934,0.7825215458869934,«В лучшем случае быстрые углеводы приведут к skinny fat»: как продукты влияют на похудение,Общая,Материалы из сообщества
20,19f22d82-87ee-4aa3-820e-6d4f60ca76a7,7833b76c-96c8-440a-ae17-704da8f79165,semantic_only,0.7824389338493347,0.7824389338493347,Что такое орторексия и надо ли ее лечить,Медицина,Другое
