rank,mix,title,department,rubric,age_days,views,sim
1,baseline,50 лучших триллеров всех времен,Списки,Другое,42,1501700,0.891
2,baseline,30 лучших фильмов на «Кинопоиске»,Поп-культура,Другое,622,126450,0.874
3,baseline,20 лучших фильмов по книгам Стивена Кинга,Поп-культура,Другое,411,21700,0.867
4,baseline,30 недооцененных фильмов,Поп-культура,,249,8700,0.865
5,baseline,30 лучших детективных сериалов всех времен,Поп-культура,Другое,431,231550,0.862
6,baseline,50 лучших мелодрам,Поп-культура,Другое,424,23900,0.86
7,baseline,20 лучших фильмов на Хеллоуин,Поп-культура,,200,9250,0.859
8,baseline,Лучшие фильмы 2025 года,Списки,Другое,109,117250,0.858
9,baseline,100 лучших хорроров всех времен,Поп-культура,Другое,42,245500,0.854
10,baseline,Лучшие хорроры 2025 года,Поп-культура,,95,18500,0.853
11,baseline,50 лучших фильмов на Новый год,Поп-культура,Другое,106,1074950,0.849
12,baseline,Лучшие хорроры 2024 года,Поп-культура,Другое,459,67900,0.847
