rank,mix,title,department,rubric,age_days,views,sim
1,baseline,"Что подарить на Новый год другу, коллеге, маме: 12 идей необычных подарков",Шорты,Другое,1593,59403,0.694
2,baseline,11 универсальных подарков на Новый год до 1000 рублей,Шорты,Другое,2310,54400,0.68
3,baseline,Какого новогоднего подарка вы достойны?,Город,,111,10850,0.654
4,baseline,Какой подарок вы хотите получить на Новый год и что собираетесь подарить близким?,UGC,Дискуссии,2335,24900,0.646
5,baseline,Генератор новогодних подарков: 120 идей на любой вкус и кошелек,Тесты,Безумие,1594,65350,0.633
6,baseline,"Для тех, у кого нет идей: 10 подарков, которые понравятся каждому",UGC,Потреблялово,2321,334850,0.632
7,baseline,Какие цифровые товары и подписки стоит подарить близким на Новый год?,Интернет,Дискуссии,493,2850,0.624
8,baseline,Семейный Новый год: как подгото­виться к празднику и чем заняться на каникулах,Дети,,118,1600,0.62
9,baseline,10 творческих подарков для детей,Шорты,Другое,1210,11300,0.618
10,baseline,Генератор новогодних подарков для детей: 100 классных вари­антов для разных возрастов,Дети,Другое,120,22350,0.615
11,baseline,Дарите питомцу подарки на Новый год? Расскажите и покажите,UGC,,120,2200,0.612
12,baseline,"Расскажите о бытовой технике и вещах для дома, которые вы подарили родителям и радуетесь",UGC,Дискуссии,1859,20000,0.612
