rank,mix,title,department,rubric,age_days,views,sim
1,baseline,Как получить туристическую визу в Китай в 2025 году,Чемодан,Другое,859,847650,0.841
2,baseline,Как получить китай­скую транзитную визу в 2025 году,Чемодан,Другое,397,6550,0.825
3,baseline,Как выехать из России в Китай по суше,Чемодан,Тревел-новости,945,47000,0.825
4,baseline,"Генконсульство Китая во Владивос­токе рассказало, как будет работать безвизовый режим с КНР",Чемодан,,223,8100,0.816
5,baseline,"Можно ли прилететь в Китай транзитом без визы, а выехать на автобусе?",Что делать,Материалы из сообщества,216,1350,0.794
6,baseline,Китай возобновит выдачу всех типов виз россиянам,Новости,Тревел-новости,1127,21799,0.789
7,baseline,Правила въезда в Гонконг для россиян в 2026 году,Чемодан,Другое,629,140800,0.77
8,baseline,Китай введет безви­зовый режим на 30 дней для рос­сиян с 15 сентября,Новости,,224,4350,0.768
9,baseline,Гонконг отменил коронавирусные ограничения для туристов,Чемодан,Тревел-новости,1105,1838,0.753
10,baseline,Как лететь транзи­том через Китай?,Что делать,Что делать,1054,429900,0.75
11,baseline,Правила въезда в Таиланд для россиян в 2026 году,Чемодан,Другое,923,843250,0.742
12,baseline,В Москве и Петербурге открылись китайские визовые центры,Чемодан,Тревел-новости,981,24650,0.739
