rank,mix,title,department,rubric,age_days,views,sim
1,baseline,Ротации в планке: техника выполнения упражнения,Спорт и фитнес,Другое,460,5750,0.84
2,baseline,"Правда ли, что планка — лучшее упражнение для пресса?",Спорт и фитнес,Другое,525,229400,0.832
3,baseline,Динамичная планка: техника выполнения упражнения,Спорт и фитнес,Другое,733,17500,0.814
4,baseline,Подъем в боковую планку: техника выполнения упражнения,Спорт и фитнес,Другое,418,3050,0.802
5,baseline,Боковая планка: техника выполнения упражнения,Спорт и фитнес,Другое,761,9700,0.797
6,baseline,Подъемы таза в боковой планке: техника выполнения упражнения,Спорт и фитнес,Другое,320,850,0.786
7,baseline,Как накачать пресс: советы и лучшие упражнения,Спорт и фитнес,Другое,601,679300,0.779
8,baseline,Тренировки табата: польза и эффективность упражнений с таймером,Спорт и фитнес,Другое,85,85000,0.779
9,baseline,Выходы в боковую планку из положения стоя: техника выпол­нения упражнения,Спорт и фитнес,,243,700,0.777
10,baseline,Калистеника: что это за вид тренировок и как начать зани­маться,Спорт и фитнес,Другое,956,218850,0.771
11,baseline,Касание коленом локтя в боковой планке: тех­ника выполнения упраж­нения,Спорт и фитнес,Другое,670,3400,0.769
12,baseline,Касание голени из план­ки: техника выпол­нения упраж­нения,Спорт и фитнес,Другое,712,10550,0.765
