rank,mix,title,department,rubric,age_days,views,sim
1,baseline,Что нужно кошке для комфорт­ной и счастливой жизни?,Животные,Другое,488,9300,0.878
2,baseline,"Правда ли, что кошку стоит приучить хо­дить в туалет на уни­таз?",Животные,Другое,770,13100,0.867
3,baseline,«Требовательное мяуканье — выучен­ная стратегия»: 8 вопросов о поведе­нии кошек,UGC,,54,13200,0.851
4,baseline,"Правда ли, что кошка ходит в туалет в тапки, чтобы отомстить?",Животные,Другое,685,19300,0.847
5,baseline,Как приучить котенка к лотку?,UGC,Другое,403,1150,0.832
6,baseline,"«Боится подойти к туалету»: 5 идей, как приучить кошку к лотку",Животные,Другое,573,2000,0.826
7,baseline,Помогает ли «анти­гадин» отучить кошку метить?,Животные,,231,4550,0.824
8,baseline,Как помочь бездом­ной кошке,Гайды,Другое,567,40700,0.822
9,baseline,10 частых ошибок владельцев котов,Животные,Другое,718,45850,0.821
10,baseline,Как правильно помыть кота,Животные,Другое,873,97200,0.814
11,baseline,Почему кот не ест и как это исправить?,Что делать,Что делать,614,27550,0.807
12,baseline,Как подружить кошек?,Что делать,Материалы из сообщества,68,4450,0.804
