rank,mix,title,department,rubric,age_days,views,sim
1,baseline,Лучшие смартфоны до 60 000 : 13 моделей,Технологии,Другое,22,172200,0.89
2,baseline,Лучшие смартфоны до 30 000 : 10 удачных моделей,Технологии,Другое,531,259550,0.876
3,baseline,Лучшие смартфоны до 12 000 : 9 удач­ных моделей,Технологии,Другое,188,553650,0.873
4,baseline,Лучшие смартфоны Xiaomi: 11 удачных моделей на любой вкус и кошелек,Технологии,Другое,179,555100,0.867
5,baseline,Android-смартфоны: список удачных вариантов на любой бюджет,Технологии,Другое,111,1352650,0.867
6,baseline,Как выбрать смарт­фон на Android в 2026 году,Гайды,Как жить,384,102000,0.865
7,baseline,Лучшие компактные смартфоны: 5 моделей от 25 000,Технологии,Другое,796,130600,0.862
8,baseline,Лучшие смартфоны Samsung: 12 моде­лей,Сравнятор,Другое,18,652750,0.859
9,baseline,Лучшие игровые смартфоны: список удачных моделей,Технологии,Другое,60,147400,0.852
10,baseline,Лучшие складные смартфоны: 11 удач­ных вариантов,Сравнятор,Другое,211,231550,0.846
11,baseline,Смартфоны с луч­шими камерами: 10 удачных моделей,Сравнятор,Другое,4,103300,0.846
12,baseline,Смартфоны с луч­шими камерами: список удачных моделей,Технологии,Другое,286,565000,0.845
