rank,mix,title,department,rubric,sim,ltr_score
1,similar,60 лучших дорам,Списки,Другое,0.767,0.441
2,similar,30 лучших детективных книг,Поп-культура,,0.826,0.406
3,similar,"10 великих фильмов, которые не получили ни одного «Оскара»",Поп-культура,,0.826,0.394
4,explore,Каннский кинофе­стиваль объявил про­грамму на 2026 год: в нее вошел новый фильм Андрея Звя­гинцева «Минотавр»,Поп-культура,,0.544,-0.229
5,similar,50 лучших комедий всех времен,Поп-культура,Другое,0.832,0.345
6,similar,60 лучших сериалов Netflix,Поп-культура,Другое,0.797,0.271
7,explore,Фото питомца: кот Иосиф с интересом наблюдает за печатью документа на принтере,UGC,Материалы из сообщества,0.337,-0.404
8,similar,Лучшие сериалы 2025 года,Поп-культура,Другое,0.819,0.156
9,similar,40 лучших советских комедий,Поп-культура,Другое,0.791,0.129
10,similar,30 лучших визу­аль­ных новелл,Списки,,0.768,0.113
11,similar,10 самых переоцененных фильмов в истории кино,Списки,,0.843,0.097
