rank,mix,title,department,rubric,sim,ltr_score
1,similar,"Что подарить папе на Новый год: 50 идей даже для тех, кому ничего не надо",Технологии,Другое,0.556,0.194
2,similar,Генератор новогодних подарков для детей: 100 классных вари­антов для разных возрастов,Дети,Другое,0.615,0.171
3,similar,Что подарить маме на Новый год: 50 классных идей,Шорты,Другое,0.582,0.024
4,explore,Бесят тревожные люди,UGC,Материалы из сообщества,0.234,0.272
5,similar,Где покупать декор к Новому году: 15 магазинов с красивыми штучками для дома,Город,Другое,0.541,-0.019
6,similar,Что подарить на Новый год: советую 15 вариантов до 1 000,UGC,Материалы из сообщества,0.575,-0.149
7,explore,Я хочу раз в месяц готовить блюдо мировой кухни,Еда,Материалы из сообщества,0.328,-0.662
8,similar,Что подарить ребенку на Новый год: 30 классных идей,Город,Другое,0.584,-0.162
9,similar,"50 новогодних подар­ков на Wild­berries, которые можно зака­зать в пару кликов",Шорты,Другое,0.558,-0.185
10,explore,Как приготовить кускус с горошком — рецепт легкого гарнира за 5 минут,Еда,,0.281,-1.002
11,similar,Техноподарки: чем порадовать близких и друзей на Новый год,Вещи,,0.555,-0.277
12,similar,Играете в «Тайного Санту»? Вот 54 подарка до 2 000,Город,,0.576,-0.286
