rank,mix,title,department,rubric,sim,ltr_score
1,similar,Правила въезда в Египет для россиян в 2026 году,Чемодан,Другое,0.726,0.246
2,similar,Правила въезда в Словакию для рос­сиян в 2026 году,Чемодан,,0.723,0.041
3,similar,"Как пройти паспорт­ный контроль, если есть второе гра­ждан­ство?",Эмиграция,Что делать,0.705,0.022
4,explore,"Бесит, когда люди не понимают, как ты добыл свои связи",UGC,Материалы из сообщества,0.374,0.133
5,similar,Безвизовые страны для россиян в 2026 году,Гайды,Другое,0.714,-0.054
6,similar,Правила въезда в Казахстан для рос­сиян в 2026 году,Чемодан,Другое,0.701,-0.085
7,explore,Толпы и пикники под каждым дере­вом: как в Токио и окрест­ностях любовались цвете­нием сакуры,Чемодан,,0.395,0.122
8,similar,Правила въезда в Киргизию для россиян в 2026 году,Чемодан,Другое,0.769,-0.155
9,similar,ВНЖ для ИТ-специа­лис­тов и разрешение на работу: изме­не­ния для иностранцев в Грузии,Эмиграция,,0.691,-0.161
10,explore,"«Восторга не испытали»: почему я больше не поеду в Калининград, Светлогорск и Зеленоградск",Чемодан,Материалы из сообщества,0.392,-0.235
11,similar,"Что делать, если: загранпаспорт поте­рялся, испачкался, порвался или про­срочен",Что делать,,0.702,-0.17
12,similar,"«У меня было голубое платье, муж надел шорты»: как мы спонтанно поже­нились в Грузии",UGC,Другое,0.689,-0.19
