rank,mix,title,department,rubric,sim,ltr_score
1,similar,"Генконсульство Китая во Владивос­токе рассказало, как будет работать безвизовый режим с КНР",Чемодан,,0.816,0.239
2,similar,Совет путешественника: как заполнить анкету для въезда в Китай без визы,Чемодан,Материалы из сообщества,0.676,0.238
3,similar,Совет путешественника: как подготовиться к поездке в Китай,Чемодан,Материалы из сообщества,0.738,0.194
4,explore,Бесят тревожные люди,UGC,Материалы из сообщества,0.225,-0.153
5,similar,Правила въезда в Египет для россиян в 2026 году,Чемодан,Другое,0.681,0.086
6,similar,"«Поняла, что передо мной в очереди 150 человек»: как я получала визу в Китай летом 2025",Чемодан,Материалы из сообщества,0.686,0.001
7,explore,«Улыбнуться и вспомнить сериал»: почему стоит посетить музей «Квартира Коляна» в Перми,Чемодан,Материалы из сообщества,0.386,-0.211
8,similar,Безвизовые страны для россиян в 2026 году,Гайды,Другое,0.707,-0.116
9,similar,Китай введет безви­зовый режим на 30 дней для рос­сиян с 15 сентября,Новости,,0.768,-0.169
10,explore,«Смогли без спешки посмотреть город»: сколько я потратила на поездку в Тюмень одним днем,Чемодан,Материалы из сообщества,0.378,-0.582
11,similar,Правила въезда в Малайзию для рос­сиян в 2026 году,Чемодан,Другое,0.684,-0.22
12,similar,«Вожу еду в чемодане каждую неделю»: как мы эмигрировали из материкового Китая в Гонконг,UGC,Материалы из сообщества,0.679,-0.238
