rank,mix,title,department,rubric,sim,ltr_score
1,similar,Растяжка на все тело,Спорт и фитнес,,0.706,0.53
2,similar,"20 упражнений, которые можно выполнять дома",Спорт и фитнес,,0.695,0.269
3,similar,Как начать держать спину ровно?,UGC,Материалы из сообщества,0.684,0.168
4,explore,Как я искала в теле­грам-каналах подработку и потеряла около 100 000,UGC,Материалы из сообщества,0.415,0.234
5,similar,Круговая тренировка на все тело,Спорт и фитнес,,0.714,-0.042
6,similar,Жим штанги стоя: что это и как пра­вильно выполнять,Спорт и фитнес,,0.739,-0.06
7,explore,Полумарафон «Северная столица» в Петербурге открыл регистрацию на 2026 год: забег пройдет 9 августа,Спорт и фитнес,,0.354,-0.257
8,similar,Гиперэкстензия: что это и как правильно выполнять,Спорт и фитнес,,0.739,-0.167
9,similar,Почему при выпол­нении упраж­нений на пресс болит пояс­ница и что с этим делать?,Что делать,Другое,0.705,-0.175
10,explore,"В Италии заверши­лась зимняя Пара­лимпиада — 2026: медальный зачет, результаты России и главные факты",Спорт и фитнес,,0.338,-0.628
11,similar,10 эффективных упражнений для мышц груди,Списки,Другое,0.692,-0.386
12,similar,Что такое пилатес и как им заниматься,Гайды,Как жить,0.727,-0.39
