rank,mix,title,department,rubric,sim,ltr_score
1,similar,"10 российских марок, о которых вы могли не знать",Вещи,,0.744,0.282
2,similar,Где покупают одежду жители Москвы? Мы вышли на улицу и спросили,Вещи,,0.774,0.257
3,similar,Красивая домашняя одежда для женщин и мужчин: 16 россий­ских брендов,Вещи,,0.782,0.245
4,explore,Бесят тревожные люди,UGC,Материалы из сообщества,0.393,0.103
5,similar,36 российских марок женского белья,Вещи,Покупай отечественное,0.789,0.144
6,similar,"Zara не заменили, Nike не вер­нется: эксперт — о том, что происходит на рос­сийском модном рынке",Вложения,Другое,0.768,0.108
7,explore,"Редкие издания, встречи с писате­лями и лекции: в Москве пройдет книжная ярмарка Non/fiction",Город,,0.513,-0.242
8,similar,Где купить качест­венную и актуальную куртку: 16 магазинов,Вещи,,0.79,0.092
9,similar,Как выглядит россий­ский массмаркет в 2026 году: 10 главных имен,Город,Другое,0.781,-0.004
10,explore,В Екатеринбурге открыли выставку с 250 работами Марка Шагала,Город,,0.478,-0.414
11,similar,Лучшие новинки из массмаркета за две недели — все до 15 000,Вещи,,0.764,-0.02
12,similar,16 российских брендов купальников,Списки,Покупай отечественное,0.785,-0.02
