entity_type,position,n,clicks,p_hat
article.ml_personal-block-recommendation,1,2839603,65301,0.022996860478834202
article.ml_personal-block-recommendation,2,822857,25531,0.031028402192842273
article.ml_personal-block-recommendation,3,737145,16915,0.022947933044562347
article.ml_personal-block-recommendation,4,192553,9919,0.05151774817584586
article.ml_personal-block-recommendation,5,266935,8961,0.03357346489995767
article.ml_what-else-mi-pisali-block-recommendation,1,2016927,90833,0.04503579451730824
article.ml_what-else-mi-pisali-block-recommendation,2,696003,36986,0.05314185961307749
article.ml_what-else-mi-pisali-block-recommendation,3,627513,24247,0.038641307379106475
article.ml_what-else-mi-pisali-block-recommendation,4,240826,15151,0.06291627219426313
article.ml_what-else-mi-pisali-block-recommendation,5,225959,13165,0.058266692039776774
article.popularity-block-recommendation,1,1639888,13116,0.007998707230363012
article.popularity-block-recommendation,2,410690,3013,0.007338832994068548
article.popularity-block-recommendation,3,369067,2097,0.0056845738872676925
article.popularity-block-recommendation,4,98936,1455,0.014716286967595868
article.popularity-block-recommendation,5,93171,1714,0.018406619943545876
article.what-else-mi-pisali-block-recommendation,1,561511,13179,0.023472297168542846
article.what-else-mi-pisali-block-recommendation,2,180244,5452,0.030253098543102205
article.what-else-mi-pisali-block-recommendation,3,161918,3617,0.022344367588932806
article.what-else-mi-pisali-block-recommendation,4,51560,2128,0.041290097358519844
article.what-else-mi-pisali-block-recommendation,5,47682,1835,0.03850348125157285
